"size_date","size_ret"
"1 1970-03-16",-0.0135792797966368
"5 1970-03-17",0.00460657551031876
"3 1970-03-17",-0.00177607905020316
"4 1970-03-17",0.0046181459846555
"2 1970-03-17",-0.00230449497277647
"1 1970-03-17",-0.00254970711320337
"5 1970-03-18",0.00232549110450001
"3 1970-03-18",-0.000113454635608156
"4 1970-03-18",0.0028111909544557
"2 1970-03-18",-0.00140050378968363
"1 1970-03-18",0.00184554831558858
"5 1970-03-19",-0.00289490182153917
"3 1970-03-19",-0.00724771108687019
"4 1970-03-19",-0.0060049393168447
"2 1970-03-19",-0.00525571997194461
"1 1970-03-19",-0.00542702801566866
"5 1970-03-20",-0.00576171205706853
"3 1970-03-20",-0.00969953364057368
"4 1970-03-20",-0.00940839655269503
"2 1970-03-20",-0.0114477599111523
"1 1970-03-20",-0.00973479010593466
"5 1970-03-23",0.000473279001238714
"3 1970-03-23",-0.00359098288234627
"4 1970-03-23",-0.00138360565365782
"2 1970-03-23",-0.00329635371643548
"1 1970-03-23",-0.00680057956965781
"5 1970-03-24",0.00984152324599083
"3 1970-03-24",0.00570594486436312
"4 1970-03-24",0.00571307053867618
"2 1970-03-24",0.00363620690783674
"1 1970-03-24",-0.000232950501925906
"5 1970-03-25",0.0198347575442803
"3 1970-03-25",0.0274108891808253
"4 1970-03-25",0.0231644060569762
"2 1970-03-25",0.0284041379611637
"1 1970-03-25",0.0181491063914805
"5 1970-03-26",0.00369597616581024
"3 1970-03-26",0.00398280931952409
"4 1970-03-26",0.00293548146694913
"2 1970-03-26",0.00218801017316001
"1 1970-03-26",0.00123810397253943
"5 1970-03-30",0.00127052135377725
"3 1970-03-30",-0.00412823808437834
"4 1970-03-30",-0.000272480438934853
"2 1970-03-30",-0.00656485946406993
"1 1970-03-30",-4.20011108136133e-05
"5 1970-03-31",7.9354330743363e-05
"3 1970-03-31",-0.00288704339547174
"4 1970-03-31",0.00257708329923559
"2 1970-03-31",-0.00397709415260048
"1 1970-03-31",-0.000911167269694768
"5 1970-04-01",0.00453867385864977
"3 1970-04-01",0.00276665099121055
"4 1970-04-01",0.0054718715126876
"2 1970-04-01",-0.000288281342510731
"1 1970-04-01",0.00206902371066963
"5 1970-04-02",-0.00522361409449193
"3 1970-04-02",-0.00243896202055503
"4 1970-04-02",-0.00321148807499513
"2 1970-04-02",2.98440673068599e-05
"1 1970-04-02",-0.0010883388883943
"5 1970-04-03",-0.00554544942144392
"3 1970-04-03",-0.00310346671154543
"4 1970-04-03",-0.00500769239784835
"2 1970-04-03",-0.00389576708202514
"1 1970-04-03",-0.00381198255391842
"5 1970-04-06",-0.00812530788598339
"3 1970-04-06",-0.0105476592778902
"4 1970-04-06",-0.00956767512725039
"2 1970-04-06",-0.00611885583248524
"1 1970-04-06",-0.00579896049761239
"5 1970-04-07",-0.00304138951746656
"3 1970-04-07",-0.00378078618714356
"4 1970-04-07",-0.00387128971473632
"2 1970-04-07",-0.00807560817974084
