"BM5","min_BM","year"
2,0.000309651284150066,2008
4,0.000753839896564982,2008
4,0.00113482762128374,2009
2,0.000469899755432637,2009
1,3.40454738243868e-07,2009
3,0.000759339287475486,2009
5,0.00195061171484506,2009
4,0.00097430539369447,2010
1,2.61930955000262e-07,2010
2,0.000410530912323606,2010
3,0.000666977904084641,2010
5,0.00153011592278813,2010
5,0.00144623217095739,2011
2,0.000342834340814238,2011
1,2.91087639348264e-07,2011
3,0.000579049443817363,2011
4,0.0008765110610302,2011
2,0.000401337864687757,2012
3,0.000690684687811747,2012
1,1.3960691975585e-07,2012
5,0.00172314823376093,2012
4,0.00105455121250663,2012
1,2.05204581354304e-07,2013
2,0.000328003617136068,2013
3,0.000563140345567324,2013
4,0.000866997180570274,2013
5,0.00134231620928239,2013
2,0.000281280842041273,2014
